,Number,Names
86648,86649, Breakfast variety Helpful front desk staffs Proximity to underground and Ealing Broadway shopping
86661,86662, The bed was comfy the staff were great 
86665,86666, We got to check out an hour later without no extra cost also the staff were friendly and everything was just perfect
86705,86706, The welcome cookies and the thoughtful staff 
86706,86707, Food excellent staff friendly and helpful 
86725,86726, Ease of booking in and out and friendliness of staff at this time 
86762,86763, Friendly and very helpful staff Evening bar meal excellent
86780,86781, Loved the cookie and the staff were brilliant not just front of house everyone
86783,86784, The bar prices where great value for money and the bar staff very helpful 
86787,86788, Very friendly and helpful staff
86814,86815, The staff were courteous and attentive 
86839,86840, Cookies were a nice surprise Well presented and friendly reception staff Clean throughout
86847,86848, the welcome given by the staff the breakfast and the late nite pizza
86850,86851, The staff at reception and at breakfast were engaging courteous and helpful 
86853,86854, The staff were wonderful They were helpful and nice 
86856,86857, There is always a good welcome from most of the staff
86880,86881, The staff were excelent and there to help The breakfast was amazing
86888,86889, Friendly staff and the warm cookie 
86894,86895, Breakfast staff and cookie on entrance
86899,86900, Friendly and helpful staff Good parking 
86900,86901, Comfy bed staff very nice and willing to help
86909,86910, the staff particularly the reception
86927,86928, Very friendly kind and helpful staff Warm atmosphere And starbucks 
86941,86942, The reception staff were so friendly upon arrival The warm cookie was a welcome treat 
86942,86943, Friendly and helpful staff good breakfast 
86952,86953, All staff we encountered were very friendly and helpful
86962,86963, The staff got out out of their way to help in anything we needed Exceptionally kind 
86970,86971, Friendly staff and lovely accommodation 
86975,86976, Lovely friendly staff and loved the cookie given on arrival a very nice touch 
86976,86977, The service provided was excellent and the staff are well trained and helpful
86979,86980, The staff were very friendly on arrival We were booked in by Marcus who was very efficient and friendly
86980,86981, Friendly staff Near to tube station 
86981,86982, The friendly and helpful staff
86990,86991, The friendliness and flexibility of staff As well as all the extra s Very pleasant stay 
86994,86995, Very friendly staff Lovely huge bath towels 
86998,86999, Reception staff customer service excellent
87006,87007, Excellent service from staff and facilities However I wasn t informed there was a charge for parking until I was checking out
87008,87009, Very clean and comfortable staff very helpful
87037,87038, The staff were all very friendly and helpful throughout our 3 day stay 
87051,87052, The indoor and outdoor pools are fantastic perfect for both lounging or serious lap swimming There is a park nearby for walking biking or running The food is pretty good Friendly staff 
87055,87056, The friendliness and helpfulness of all the staff food very good 
87056,87057, Two big pools choice of parking staff
87142,87143, Cleanliness friendly and helpful staffs Delicious and fresh breakfast buffet 
87177,87178, Thank you to the incredible staff So friendly and helpful 
87182,87183, All staff were friendly and very helpful 
87215,87216, Bed very comfy and staff extremely polite
87227,87228, Front desk staff are very helpful and efficient 
87235,87236, firstly the greeting from the reception staff and the warm cookie were a great welcome The bed was a great size and the facilities were great Breakfast was fantastic and the hash browns were out of this world They also looked after my bags after checkout until I was leaving London 
87237,87238, The concierge staff were attentive super pleasant and very helpful and knowledgable 
87240,87241, Having known we were celebrating an anniversary The staff went out their way to make our stay special As we entered they have set out an anniversary platter with cake and chocolate dipped strawberries with a complimentary bottle of wine 
87247,87248, It was my partners birthday When we arrived we were greeted by lovely staff who just so happened to ask us about our stay where we mentioned it was her birthday Just as we were leaving a member of staff pulled me aside and asked me for my partners name I thought nothing of it We went out and explored London for a while by the time we came back we d discovered a lovely slice of cheesecake with Happy Birthday written onto the plate and a birthday card written for my partner signed by all the staff An amazing surprise and really put the cherry on the cheesecake so to speak on our stay 
87261,87262, It was lovely to be welcomed with warm cookies and smiling staff Thanks for your kindness
87288,87289, The staff were very friendly however we had no hot water to shower for the entire duration of our stay and they have only offered me a 50 discount on one night when we were there for 2 nights so I was not particularly happy 
87304,87305, Breakfast was good afternoon tea dinner excellent Vast majority of the staff were superb
87326,87327, The bed the position the staff the breakfast
87348,87349, Staff were very friendly breakfasts was amazing as always and the staff that were working on breakfast couldn t do enough for you very friendly 
87356,87357, The beds were extremely comfortable extremely clean very friendly and helpful staff and a free warm welcome cookie was much appreciated Very modern and beautifully decorated 
87361,87362, Firm bed which we really like excellent breakfast and lovely staff
87364,87365, Onsite gym great service from staff who were very helpful and accommodating Located right next to Victoria Station and a stroll away from Buckingham palace 
87384,87385, Good breakfast across road from Victoria station transport and taxi very friendly staff all the time 
87401,87402, Good standards of cleanliness and friendly efficient staffordable 
87403,87404, Comfortable bed Lovely shower Pleasant helpful staff Good breakfast 
87420,87421, Very friendly and attentive staff
87426,87427, The reception staff were very welcoming 
87440,87441, Being American I was impressed by the staff Every person we encountered said hello and how are we Rare in this part of the world
87458,87459, The welcoming the cookies the shower the bed the staff
87465,87466, Very good in overall The staffs are helpful and friendly 
87466,87467, The bed was very comfortable The welcoming staff were helpful and polite Breakfast staff were helpful and attentive Breakfast was excellent and gave a really wide choice to suit different travellers and the display was lovely Shower nice and warm
87482,87483, v close to train station easy to hop on London bus wonderful staff fresh and delicious breakfast 
87507,87508, Loved the convenience to Victoria station as we came in on the gatwick express from the airport It was handy to get round the city from here friendly staff Beds really comfy 
87527,87528, The staff were very friendly and it was close to were we wanted go to the theatres train station
87547,87548, Very good value for money attentive and friendly staff uncomplicated very good bed short ways
87565,87566, The staff in the buffet were really served but the food wasn t that good 
87571,87572, The bed was lovely and comfortable staff excellent 
87578,87579, THE WELCOME COOKIE The deluxe queen has Comfortable bed the staff were friendly 
87590,87591, over all the staff were nice and the property is clean
87626,87627, Was ideally situated next to Victoria station staff were friendly and helpful provided extra duvet upon request overall we had an excellent stay 
87632,87633, Breakfast staff were friendly smiling and attentive Bed was superbly comfortable Cleaning thirough
87636,87637, Staff were very friendly on arrival and more senior staff were patient and helpful to trainee receptionist which is nice to see The cookie on arrival was very welcome 
87644,87645, Great place good staff definitely going back 
87648,87649, Breakfast sfaff and evening bar staff
87649,87650, very clean knowledgeable staff
87654,87655, Great staff Good variety for breakfast Easy access to Victoria Station 
87670,87671, Pleasantness helpfulness and attitude of staff especially the various Concierges
87691,87692, Comfy bed dressing gown Helpful staff
87700,87701, There staff were very helpful and friendly
87704,87705, Excellent service all around from reception staff to concierge Ramon Thank you 
87705,87706, Excellent breakfast very helpful and friendly staff
87711,87712, Across from station very friendly staff and great breakfast 
87746,87747, The members of staff in the morning when you went for breakfast where very good so helpful x
87757,87758, Very helpful staff Close to Victoria station and a theatre 
87783,87784, Helpful staff allowed us a late checkout 
87797,87798, Staff were amazing Everyone spoke and tended to every need You can be proud especially of your reception staff when I booked in
87813,87814, Comfortable beds friendly helpful staff
87814,87815, Friendly can do atmosphere Good staff training 
87818,87819, staff on reception were excellent and very helpful
87832,87833, My partners birthday trip she received a lovely welcome cake and happy smiley helpful staff
87838,87839, excellent service friendly staff
87839,87840, The hot cookies on arrival were delicious very friendly reception staff Nothing was to much 
87840,87841, From the cookie at the reception to the staff helping me store my bags after I checked out everything was great
87874,87875, The staff were very friendly and really helpful 
87876,87877, The staff was very friendly and helpful 
87882,87883, Friendly staff One problem it took us 2 hrs to find from Victoria Carried very heave bags around
87891,87892, Hptel staff at the counter were very helpful and assistance was handled immediately 
87920,87921, The staffs are very friendly to children 
87938,87939, Ideally situated really friendly staff at breakfast
87949,87950, Very welcoming staff from receptionist to the bar staff Lovely shower
88001,88002, The staff on reception were pleasant and informative 
88015,88016, Breakfast was well organised and the staff very friendly Did not have to queue or wait 
88019,88020, Close to the train and tube Nice staff Clean Superb cookies
88028,88029, All staff very welcoming and professional 
88029,88030, All staff were very happy very friendly and very helpful
88037,88038, Reception staff were excellent 
88064,88065, The staff were extremely polite and helpful especially the reception staff in particular Irene 
88076,88077, Comfy beds and modern decor Friendly and genuine staff Tasty breakfast 
88094,88095, Close to tube and train station Free cookie on arrival Friendly staff
88114,88115, The friendly and helpful staff to two octogenarians both with handicaps 
88169,88170, everything including all the staff was absolutely fine We all had a good break Thank you
88213,88214, friendly staff and cleanliness
88236,88237, Confortable clean and convenient efficient and friendly staff 
88237,88238, the food was lovely and the staff were very helpful 
88260,88261, The bed was VERY nice The staff were friendly and helpful even making sure we d had our breakfast before we got in the taxi to leave 
88291,88292, The staff couldn t do enough and were so friendly to our children The book is a really special touch and our daughter reciprocated with a lovely letter thanking the staff and saying we hoped that we could return We needed to move quick through breakfast in the morning due to taking part in a run They couldn t have done more for us and understood our needs as a family which was great 
88298,88299, Very comfortable bed Extremely helpful staff
88313,88314, The staff were extremely friendly and we slept better than at home 
88318,88319, Beautiful building very friendly staff nothing too much hassle for anyone Great breakfast Right next to tube station and 5 minutes from Westminster area 
88343,88344, Very accommodating staff Made us feel very welcome Saw to all our needs and requests 
88358,88359, I liked that the staff were so helpful and polite The food was great too
88368,88369, Lovely friendly staff who made us feel very welcome 
88374,88375, Style generally including what used to be car parking at entrance Attention of front of house staff BUT see negative comment Bee hives
88414,88415, Friendly staff High level of cleanliness and general maintenance 
88435,88436, The attentive staff making my 6 year old daughter s stay exciting and memorable 
88445,88446, Reception staff very friendly and beds so comfy 
88450,88451, Bed was so comfy we had a great nights sleep Breakfast was good and the staff were fantastic 
88456,88457, Very well located htel excellent facilities nice staff very good breakfast very quiet
88472,88473, We waited a long time for my breakfast to arrive but the staff were superb about it and I had a good meal
88481,88482, Friendly and efficient staff Good food
88503,88504, Breakfast is good and staffs are nice Calm and safe place 
88506,88507, The bed was comfy and the staff helpful and friendly
88527,88528, Friendly and attentive staff with a brilliant lication Very relaxed despite being in central London Would stay again 
88546,88547, Extra comfy bed friendly staff and breakfast in bed was amazing 
88574,88575, ALL staff are so friendly helpful informative will be back again thank you 
88580,88581, Attention from staff was excellent Beds very comfortable Happy hour free wine very much appreciated 
88581,88582, The staff very helpful friendly
88594,88595, Friendly helpful well trained staff Beautiful building well maintained 
88633,88634, Comfortable bed Excellent staff 
88656,88657, The staff were extremely helpful and friendly and made us feel very welcome The breads and pastries at breakfast were very good 
88659,88660, the staff is very postive and goes an extra mile the interior looks fresh and stylish there is a free french press with supply of coffee
88673,88674, everything The staff were super and really helpful inparticular Fabio who went the extra mile to make sure my stay was as comfortable and lovely as possible 
88675,88676, Tranquil beautiful decor super clean and very friendly helpful staff Expensive but for a real treat we were very pleased with our choice Would stay again 
88682,88683, Very clean very helpful smiling and polite staff willing to satisfy all out needs
88689,88690, The staff was extremely pleasant and very helpful Love the Molton Brown products 
88692,88693, The staff was particularly helpful and the continental breakfast was so delicious 
88699,88700, Excellent stay staff were very welcoming 
88713,88714, Very well fitted out comfortable friendly staff
88723,88724, fantastic staff Nothing was too much trouble
88732,88733, Friendly and helpful staff Lovely fresh breakfast Very clean and great little touches
88747,88748, The staff were very friendly and couldn t do enough for you
88762,88763, The staff was fantastic friendly and very helpful The property is absolutely beautiful 
88770,88771, Everything start to finish was a 5 experience Allowing for my poor French the staff were delighted at my attempt to converse Completely unlike any other experience I ve had in Paris previously 
88772,88773, Everything was great But the best part of my stay was the staff they treated you as part of the family Which has made my time at the Regina very memorable 
88785,88786, Concierge staff were very friendly and helpful 
88789,88790, Everything was perfect bed was really comfortable Breakfast was good and all the staffs were friendly and helpful 
88801,88802, The staff went out of their way to provide us with everything we requested They were always pleasant and happy Everything was clean and presentation was a 10 
88810,88811, Comfortable bed Excellent staff Will certainly return and would certainly recommend to others
88850,88851, The service was excellent The staff were more helpful then if they were married to my daughter The value to money ratio is terrific Additionally the humored me as I mangled their language encouraging me and easily switching to English when the discussion became too complicated Wonderful wonderful place
88869,88870, th front desk staff were exceptional in language and information
88881,88882, We loved the view The staff efficiency helpfulness was superb The size comfort of the suite Nice touches like the coffe table books the travel adapters 
88918,88919, Everything was excellent from the staff to the facilities and amenities My wife and I can t wait to return 
88932,88933, Impeccably run by the staff and beautifully kept building
88935,88936, The Parisian charm and staff amazing
88937,88938, The service was brilliant and very helpful staff
88962,88963, Friendly staff Excellent service 
88968,88969, The staff were very helpful which along with the setting made a very special trip a fantastic one 
89023,89024, The beds were fabulous the staff very friendly and the bar very cosy
89043,89044, Wonderful kind and thorough staff Made you feel like you were family 
89058,89059, Very good staff very helpful and kind
89062,89063, Efficient and friendliness of the staff
89064,89065, The staff were amazing So helpful Fantastic bar and lovely breakfast area Would go back without hesitation 
89074,89075, Great staff always went one step ahead to provide the best service Even allowed us to stay for 2 hours more without charge 
89102,89103, Everything was perfect Your staff was excellent 
89113,89114, Great reception staff particularly Helene Friendly greeting very helpful 
89122,89123, The staff were wonderful from the word go Nothing was too much bother The decor was superb and facilities excellent Would highly recommend it 
89127,89128, The friendliness of the staff 
89134,89135, Got upgrade at check in by very helpful staff member 
89154,89155, Bed magic just very upset about the pickpocket on metro but your staff were extra helpful with emergency phone calls to banks etc very much appreciated heifer a lot 
89156,89157, We liked the breakfast The staff responded quickly when there was a problem 
89160,89161, The staff at the desk were helpful 
89162,89163, The breakfast was very nice and the staff were helpful and polite Appreciated the baggage storage facility on our final morning there 
89172,89173, The staff were very cooperative though on the phone they said they gonna charge extra for early arrival they didn t finaly so it was nice of them 
89195,89196, staff friendly and professional even smiled at my French Late check out allowed
89265,89266, Breakfast buffet was good Some unusual options like American pancakes with bacon and maple syrup The staff were really friendly and helpful 
89309,89310, close proximity to station good brasserie nearby helpful staff excellent facilities
89373,89374, friendly staff clean and close to station 
89383,89384, Very pleasant and helpful staff
89396,89397, Friendly welcome from staff Could not be more convenient for Gare de Lyon
89416,89417, Genuine welcoming by staff Lovely people
89423,89424, Friendly and helpful staff and located right next to Gare de Lyon
89465,89466, Close to station good wifi friendly staff and overall good value for money 
89524,89525, All the staff were very friendly and helpful 
89538,89539, Access to Metro Friendly staffs Working space desk
89545,89546, It was charming and what I had hoped for being in Paris as a couple Very comfortable and the staff were lovely In lovely bustling market area Very close to the catacombs 
89569,89570, The staff was really very friendly
89573,89574, Very friendly staff Good breakfast Great shower 
89585,89586, Direct connection by RER to the Airport CDG Lovely wallpaper and area Excelent coffe at breakfast Very kind staff 
89588,89589, The staff and fact we d been before 
89600,89601, I liked help from the staff and the area
89613,89614, I like the cleanliness and the staff is amazing
89641,89642, The staff weere very helpful They showed us the important things to take care about We were 4 people about taxi cost they showed us what to do for least cost 
89679,89680, Thank you to all staff especially Ms Sandrine 
89682,89683, Friendly helpful staff close to the main attractions
89685,89686, The reception staff were extremely helpful and friendly 
89687,89688, It was close to everything The staff were fantastic and nothing was ever a problem I think they love KIWI s
89691,89692, Gerard and ropen they great staff
89697,89698, all was great staff always friendly not the first time I have stayed here
89698,89699, The staff could not have been better Everywhere was always very clean tidy Nothing was too much trouble 
89706,89707, Very professional and helpful staff 
89716,89717, Reception staff were very friendly
89720,89721, The receptionist when we checked in was very friendly and helpful this theme continued throughout our stay The staff were all lovely 
89730,89731, The staff were all lovely and made us feel very welcome we would definitely stay there again
89733,89734, Staff are great and Breakfast was superb as was the lady who served at breakfast Reception staff are wonderful 
89759,89760, The staff where very welcoming helpful and friendly 
89768,89769, The staff were very welcoming friendly and super helpful Nothing was any trouble 
89811,89812, The staff were really friendly and could more helpful every where was very clean and very very well kept breakfast was very nice and lots of selection 
89814,89815, Super comfortable bed and loved the friendly staff Really made the experience that much better 
89816,89817, Amazing staff Charming Accommodating Wonderful 
89877,89878, The staff particularly Wilhelm were fantastic Nothing was too much trouble I would definitely stay here again 
89885,89886, The staff tried to know us personally and offered us drinks after our check out 
89887,89888, There was everything to like The staff are some of the friendliest I have met Everything was set in place to make sure your stay was the best it could be Personally it was Hope to go back sometime next year 
89891,89892, The reception staff where extremely friendly and helpful the beds comfortable and the breakfast excellent 
89919,89920, The staff was really friendly and helpful 
89923,89924, Very Friendly helpfull staff Thanks 
89924,89925, The staff was very hospitable 
89929,89930, brilliant staff service very nice helpful and sweet reception
89931,89932, staff is very welcoming and friendly
89935,89936, very nice staff good breakfast buffet
89939,89940, The staff were absolutely brilliant and made our long weekend stay perfect 
89943,89944, excellent staff very courteous and helpful
89957,89958, Stunning interior decoration attentive staff spa bath 
89958,89959, The staff were really fantastic and couldn t have been more helpful 
89960,89961, Helpful and friendly staff Drinks on arrival 
89975,89976, Put simply the staff was amazing Absolutely brought so much joy to the experience
90000,90001, The staff and the approach were really good The place was clean and we enjoyed the food they offer for free 
90009,90010, Extremly friendly and helpful staff
90035,90036, The staff were excellent really helpful and kind to us
90091,90092, Breakfast was nice the staff were pleasant and helpful 
90118,90119, Everything was perfect The staff is the best in Paris specially the receptionists
90142,90143, highly professional attitude of the reception staff specially Miss Ludmila and the other lady whose name I don t remember 
90152,90153, The warmth and helpfulness of the staff was evident from the moment we stepped in I wonder what keeps them motivated 
90165,90166, Friendly staff and very willing to make your stay the best 
90191,90192, Excellent staff Very eager to please and most helpful A very quiet property 
90196,90197, Great position understated cool interior small but intimate with motivated very friendly staff
90236,90237, The front desk staff were very friendly
90243,90244, Great interieur helpful und friendly staff and located in a very nice neighbourhood 
90256,90257, The localization is really good because you can use 3 metro lines and the staff is very helpful 
90264,90265, The staff are awesome Every one of them especially the lady at d fromt desk She is amazing and really nice She made everything so easy for us For her I will definitely come back 
90295,90296, Interesting decor Good shower Pleasant staff 
90304,90305, The staff were helpful and charming
90310,90311, Excellent value for money Comfortable Well located for grands boulevards opera area Friendly and helpful staff
90341,90342, Incredible customer service very helpful staff couldn t of asked for better treatment 
90369,90370, The staff All polite and helpful 
90384,90385, The staff is really helpful and can communicate well 
90404,90405, The staff were very friendly and helpful specials the two persons name Samuel Julian they are really give all support we need which makes our visit very nice and easy and smooth for all arrangement Also the security mans named Mustafa give a very friendships
90425,90426, yes the bed is comfy the staff were friendly they can give info where and how to go of places which is a big help for us 
90445,90446, I liked the staff at reception very warm welcome and quick check in and check out kids friendly and over all is good value for money
90484,90485, The staff were really nice My kids enjoyed so much in the pool
90490,90491, The facility was clean and the staff consistently friendly capable and efficient 
90566,90567, Helpful staff The kids loved the pool Nice breakfast 
90585,90586, Excellent staff so helpful especially Martina
90606,90607, The staff at the Front desk was excellent Super Quick and Very Helful 
90646,90647, Friendly staff clean facilities perfect place to stay in a brief city break 
90658,90659, The staff was very friendly and helpful
90676,90677, The bed was extra compfy and the staff very friendly
90688,90689, The staff at the reception was very friendly and helpful 
90699,90700, Close to Gare du Lyon Breakfast choice was good Pleasant and helpful staff 
90702,90703, Friendly staff and very cooperative except the bar tender lady Clean n neat food is good too 
90731,90732, The beds are very comfortable and the staff is great 
90733,90734, Conveniently located and very helpful staff 
90755,90756, Extremely pleasant and hugely helpful staff Especially Mehdi and Tafrin 
90775,90776, Friendliness of the staff Nice and clean Handy for the centre of Paris 
90843,90844, There was a confusion with our booking The front desk staff were kind enough to help us sort it out quickly 
90856,90857, Clean modern with friendly staff right next to the station
90882,90883, Coffee great champagne and sweets served for free in the evening is nice too interior on the reception floor is nice considering limited space reception staff was very helpful 
90929,90930, The staff was very kind and efficient 
90940,90941, Friendly helpful staff A free glass of champagne every evening from 1700 2000 
90974,90975, The staff were charming and very helpful 2 balconies with double doors The air con was good and the traffic could not be heard when balcony doors shut 
90997,90998, The staff was very nice Breakfast was excellent and very reasonably priced 
91128,91129, Superb staff very attentive helpful concierge
91197,91198, I found every part of my stay was fantastic from the moment I walked into reception until the point I left all the staff were friendly and polite and the place was spotless
91215,91216, The staff were so friendly and helpful
91258,91259, Easy check in staff very friendly helpful Comfortable bed great breakfast 
91273,91274, Excellent friendly and professional staff 
91287,91288, The staff were all really helpful and were especially nice to my daughter who is 7 She particularly loved her breakfast waffles Thank you all for making it a great stay We will be back very soon 
91289,91290, Friendly staff and we received bonuses we think because of the renovations which was appreciated
91293,91294, Professionalism of reception staff
91298,91299, The staff were genuinely friendly and the breakfast was good
91302,91303, The staff were very friendly and helpful 
91316,91317, The smartness and general decor along with the attention to detail and attentiveness of staff loved the ambience of the roof terrace The breakfast was excellent with a lot of choice 
91435,91436, Excellent service from friendly and helpful staff
91448,91449, The breakfast was great very friendly staff and would help in anyway possible Roof top lovely
91452,91453, The breakfast was excellent and the staff very friendly and helpful we got an upgrade because of the scaffolding without asking for it 
91455,91456, Very polite and helpful staff nothing was too much trouble 
91460,91461, Very friendly and welcoming staff Professional reception We enjoyed our stay 
91479,91480, Everything Very helpful staff 
91509,91510, The thoughtfulness and professionalism of the staff 
91521,91522, Roof too bar and friendly staff
91526,91527, Very friendly staff and v cooperative
91527,91528, The staff was very friendly and helpfull 
91528,91529, The friendliness of all the staff
91532,91533, Close to Hyde Park for a BST concert we were attending Fri melt and helpful staff good food and a breakfast deal if you booked on arrival which we opted for 
91548,91549, The bed was too small The TV did not work The air conditioning was very noisy but the staff were friendly and helpful Breakfast was not included so I signed for it but the waitress was difficult about it Why not include breakfast 
91549,91550, Pleasant old time ambience Could be good given an update and make over without killing old gentleman s club style Breakfast O K though staff untrained 
91558,91559, The outside looked nice and the staff were friendly 
91568,91569, The breakfast was worth not going out in search of food It was very windy and rainy for our stay and we were glad we made the choice for breakfast Staff over seeing breakfast was friendly and helpful Front desk staff for our check in was very accomidating and friendly 
91593,91594, Very helpful staff Forgot my toothbrush and they offered me a complimentary one when I was fully expecting a charge Offered an upgrade so got a massive bed The breakfast qas lovely good fresh food 
91602,91603, The staff is not bad and the breakfast is decent 
91621,91622, The staff were charming helpfull Enjoyed breakfast 
91630,91631, Very friendly and helpful staff
91703,91704, Staff were very friendly and helpful especially the wait staff at breakfast who were brilliant attentive and welcoming 
91723,91724, Very good for a very good price friendly staff
91724,91725, The staff was very kind and understanding 5 Min from Hyde Park Corner station Clean
91727,91728, The staff on the reception desk has been very friendly and try to assist as much as they can 
91749,91750, Reception staff were very friendly and helpful 
91774,91775, Really helpful reception staff and friendly atmosphere 
91808,91809, The staff was extremely helpful in providing travel tips 
91828,91829, The staff were very eager to help and friendly good position tucked away behind Park Lane and Piccadilly clean towels and good sized mugs for hot drinks
91844,91845, Pavement appeal excellent Reception staff friendly Ambiance good 
91851,91852, The staff were friendly and helpful Breakfast was tasty and hot scrambled egg warm and boiling water was provided for coffee and tea always important 
91852,91853, Very nice attentive staff Good breakfast 
91854,91855, The weekend price is right The breakfastfirst class Multi purpose staff which means you can wait for lounge service thpugh not for too long and when it comes it is friendly and efficient 
91877,91878, Cleanliness of tables at breakfast and the selection The staff were immaculate and attentive Cups of normal size instead of thick bucket like mugs 
91892,91893, Excellent check in staff and breakfast was plentiful and well served fair price for what you get
91903,91904, The proximity to my meeting venues The staff were all very pleasant and friendly Free wifi Good reading material in the lobby 
91909,91910, Comfortable and convenient friendly staff
91920,91921, Generally happy all round Shower was excellent Breakfast was tasty staff were friendly enough 
91960,91961, The reception staff by the name of Sandya was very helpful I arrived early around 9am and requested for an early check in She was courteous and tries to accommodate my request 
92027,92028, Stayed there 30 years ago not been decorated since but was very clean comfortable friendly staff very good value would def stay again
92035,92036, Excellent choice for breakfast staff very attentive
92036,92037, staff were excellent comfy bar area
92066,92067, Excellent selection of freshly prepared food for breakfast along with very attentive staff
92096,92097, convenient to where we wanted to be staff lovely old fashioned charm
92099,92100, I loved the friendliness of the staff
92112,92113, The staff were very helpful and chatty since i was having dinner alone the waiter made it a lot better by just speaking making conversation
92152,92153, Perfect for sleeping and a great position in a nice part of central London and very helpful staff 
92208,92209, Friendly staff Located within easy walking distance to Hyde Park Winter Wonderland Harrods and Oxford Street shopping 
92210,92211, Friendly staff arranged early check in for us last minute 
92219,92220, The staff were exceptionally friendly helpful Beautifully cooked breakfast 
92387,92388, Good staff great breakfast slept well 
92433,92434, Friendly staff bed very comfortable good breakfast 
92448,92449, Traditional feel friendly staff
92460,92461, Excellent breakfast and very pleasant staff 
92522,92523, The staff were very friendly and accomodating
92533,92534, Friendly helpful staff Beautiful breakfast Close to tube bus 
92589,92590, Very friendly staff near the tube station I was attending the Depeche Mode concert at the Olympic stadium on my own It was the night of the terrorist attack at London bridge Although we were not near the incident staff were very helpful with me being on my own reassuring and checking I was ok 
92633,92634, Friendly and helpful staff Quiet at night Less expensive than some places nearby 
92639,92640, Everything really but especially the staff so obliging and really helpful In addition the freshly cooked English breakfast was superb my compliments to the chef 
92640,92641, The staff we re friendly and the pun was nice 
92661,92662, Lovely pub in london Very good food and drink Easy to reach Friendly staff
92686,92687, The staff were really helpful booking taxis etc 
92692,92693, Friendly staff Comfy bed Lovely breakfast 
92698,92699, Good atmosphere Attentive helpful staff
92712,92713, Very friendly staff and so helpful loved the downstair bar can t wait to come back
92716,92717, Friendly staff nice bar and awesome burgers would stay here again
92720,92721, Great pub good beer friendly and helpful staff Good food Very handy for events at Olympic Park 40 mins walk away 
92722,92723, food bar music and staff all good
92724,92725, Great staff and nice place overall 
92736,92737, The staff 9 points The beds were very comfy 9 points The beer garden was HUGE 9 5 points The ice machine 10 points Ealing West station is a 2 minute walk away 10 points 
92770,92771, Plusses Located in Ealing away from the worst tourist traps we had a chance to see a little bit local life Clean small friendly service Nice pub downstairs serving good local meals friendly staff
92773,92774, Handy for the M40 A40 Space to park Lovely staff Tastefully modernised whilst retaining its original style Good breakfast and enjoyed the evening meal we had there E1 bus then tube into Central London no problem 
92785,92786, Lovely place very nice staff were lovely too price wasn t bad for where it was either 
92819,92820, The accommodating front of house staff Fabulous beer garden 
92834,92835, Train station within lunging distance and extra helpful staff Food done in the bar was very nice 
92930,92931, Friendly staff After a fault with booking we were upgraded
92936,92937, Great bed Friendly staff Great shower 
92940,92941, Food and staff were all fab and we will be staying again
92971,92972, Nothing The bar staff are very rude and most unhelpful 
93003,93004, Very friendly helpful staff Free parking Comfy bed
93031,93032, the d cor the staff the atmosphere The food
93033,93034, The staff all of them could not have been more helpful and kind to everyone in our pre and post wedding party Thank you so much 
93037,93038, Lovely breakfast great beer garden very helpful staff
93058,93059, Friendly and obliging staff Good choice of food at reasonable price 
93078,93079, Poached eggs and spinach were awesome And the staff was great Guinness was phenomenal 
93096,93097, The staff were very helpful knowledgeable and eager to please The attached bar offered a wide variety of very well prepared food and drinks 
93131,93132, Very friendly and helpful reception staff Madelein offered to pay for taxi on our arrival as taxi refused to accept a credit card as payment We were upgraded to Club lounge which was very thoughtful Will definitely be staying there again Thank You
93146,93147, The staff was so nice we got a complimentary club lounge upgrade Perfect 
93149,93150, On arrival the guest experience exec Izabella greeted us personally and ensured our stay was catered to to the finest detail All the staff were attentive and warm and the suite we stayed in was beautiful Overall a wonderful experience from start to finish Highly recommended from a seasoned traveller 
93152,93153, The staff were so amazing they catered to all our needs with no questions ask Already planning our next trip to the Montcalm Can t wait 
93236,93237, The best and friendliest staff i have ever seen been around the world but i have never seen such a staff very welcoming smiling all the time helpful and friendly 
93251,93252, the staff were extremely helpful friendly 
93255,93256, The staff are AMAZING Anything you ask they are only too happy to oblige nothing is too much trouble The service you receive at The Montcalm is excellent 
93259,93260, Attention to detail and customer service was above and beyond Breakfast service was particularly good perfect poached eggs and delightfully friendly staff Thank you 
93267,93268, Every things nice the staff were really friendly and they are willing to help you in anything 
93287,93288, Fabulous staff who were extremely attentive and wonderfully polite and accommodating We were greeted by a beautiful harvest Autumn display in the lobby which was very welcoming Attention to every detail was made to ensure a wonderful stay 
93291,93292, Situation is just great In general very friendly staff 
93297,93298, The attentiveness and friendliness of the staff
93314,93315, the staff smile and greetings and enquiring about any help or thing to make our stay more enjoyable
93316,93317, Yes Is really a delight to be there The staff are very courteous The tall guy at the entrance is marvelous They are always ready to assist
93317,93318, This trip was for my wife s birthday and from the check in to check out the staff went out of their way to make this a special occasion from birthday cake balloons to the concierge booking a show 
93333,93334, I ve stayed here on numerous occasions now and the the staff can t do enough for you so helpful and amazing with children they went over and beyond to make it an enjoyable stay 
93339,93340, not much staff were friendly though 
93344,93345, Excellent staff facilities and comfort Stayed here a few times now and has always been consistent Nicely understated yet excellent quality ideal for our foreign business visitors 
93400,93401, You feel like you are at home The staff are very friendly They are always trying to help me to feel more comfortable The duty managers are also so kind to me especially to my kids they enter to my kids heart because of the treat and the way they are talking to them also they braught a gifts to them with chocolate and i saw my daghuters faces emotions with happiness and excitement Thanks Montcalm 
